No,Time,NoPCBA,MAC Box,Id PCBA,User
0,9:16,0,F000469274,6120121637,Code
1,9:17,1,F000469274,6120121637,Code
2,9:17,2,F000469274,6120121637,Code
3,9:17,3,F000469274,6120121637,Code
4,9:17,4,F000469274,6120121637,Code
5,9:17,5,F000469274,6120121637,Code
6,9:17,6,F000469274,6120121637,Code
7,9:17,7,F000469274,6120121637,Code
8,9:17,8,F000469274,6120121637,Code
9,9:17,9,F000469274,6120121637,Code
10,9:17,10,F000469274,6120121637,Code
11,9:17,11,F000469274,6120121637,Code
12,9:17,12,F000469274,6120121637,Code
13,9:17,13,F000469274,6120121637,Code
14,9:17,14,F000469274,6120121637,Code
15,9:17,15,F000469274,6120121637,Code
16,9:17,16,F000469274,6120121637,Code
17,9:17,17,F000469274,6120121637,Code
18,9:17,18,F000469274,6120121637,Code
19,9:17,19,F000469274,6120121637,Code
20,9:17,20,F000469274,6120121637,Code
21,9:17,21,F000469274,6120121637,Code
22,9:17,22,F000469274,6120121637,Code
23,9:17,23,F000469274,6120121637,Code
24,9:17,24,F000469274,6120121637,Code
25,9:17,25,F000469274,6120121637,Code
26,9:17,26,F000469274,6120121637,Code
27,9:17,27,F000469274,6120121637,Code
28,9:17,28,F000469274,6120121637,Code
29,9:17,29,F000469274,6120121637,Code
30,9:17,30,F000469274,6120121637,Code
31,9:17,31,F000469274,6120121637,Code
32,9:17,32,F000469274,6120121637,Code
33,9:17,33,F000469274,6120121637,Code
34,9:17,34,F000469274,6120121637,Code
35,9:17,35,F000469274,6120121637,Code
36,9:17,36,F000469274,6120121637,Code
37,9:17,37,F000469274,6120121637,Code
38,9:17,38,F000469274,6120121637,Code
39,9:17,39,F000469274,6120121637,Code
40,9:17,40,F000469274,6120121637,Code
41,9:17,41,F000469274,6120121637,Code
42,9:18,42,F000469274,6120121637,Code
43,9:21,43,F000469274,6120121637,Code
44,9:21,44,F000469274,6120121637,Code
45,9:24,45,F000469274,6120121637,Code
46,9:24,46,F000469274,6120121637,Code
47,9:24,47,F000469274,6120121637,Code
48,9:24,48,F000469274,6120121637,Code
49,9:24,49,F000469274,6120121637,Code
50,12:59,0,F000933154,6120121637,Code
51,12:59,1,F000933154,6120121637,Code
52,13:0,2,F000933154,6120121637,Code
53,13:1,3,F000933154,6120121637,Code
54,13:1,4,F000933154,6120121637,Code
55,13:2,5,,6120121637,Code
56,13:3,6,,6120121637,Code
57,13:5,7,,6120121637,Code
58,13:5,8,,6120121637,Code
59,13:5,9,,6120121637,Code
60,13:12,0,F000933155,6120121637,Code
61,13:12,1,F000933155,6120121637,Code
62,13:13,2,F000933155,6120121637,Code
63,13:13,3,F000933155,6120121637,Code
64,13:13,4,F000933155,6120121637,Code
65,13:13,5,F000933155,6120121637,Code
66,13:13,6,F000933155,6120121637,Code
67,13:13,7,F000933155,6120121637,Code
68,13:13,8,F000933155,6120121637,Code
69,13:13,9,F000933155,6120121637,Code
70,13:13,10,F000933155,6120121637,Code
71,13:13,11,F000933155,6120121637,Code
72,13:20,12,,6120121637,Code
72,13:20,12,,6120121637,Code
72,13:20,12,,6120121637,Code
72,13:21,12,,6120000010,Code
73,13:21,13,,6120000010,Code
73,13:21,13,,6120000018,Code
74,13:22,14,,6120000018,Code
75,13:22,15,,6120000018,Code
76,13:23,16,,6120000018,Code
77,13:25,17,,6120000018,Code
78,13:39,18,,6120121637,Code
78,13:41,18,,6120121637,Code
78,13:42,18,,6120121637,Code
78,13:43,18,,6120121637,Code
78,13:48,18,,6120121637,Code
78,13:51,18,,6120121637,Code
78,13:51,18,,6120121637,Code
78,13:52,18,,6120121637,Code
78,14:3,18,,6120121637,Code
78,14:4,18,,6120121637,Code
78,14:6,18,,6120121637,Code
78,14:6,18,,6120121637,Code
78,14:7,18,,6120121637,Code
78,14:7,18,,6120121637,Code
78,14:8,18,,6120121637,Code
78,14:9,18,,6120121637,Code
78,14:9,18,,6120121637,Code
78,14:9,18,,6120121637,Code
78,14:10,18,,6120121637,Code
78,14:10,18,,6120121637,Code
78,14:11,18,,6120121637,Code
78,14:12,18,,6120121637,Code
78,14:12,18,,6120121637,Code
78,14:13,18,,6120121637,Code
78,14:14,18,,6120121637,Code
78,14:14,18,,6120121637,Code
78,14:14,18,,6120121637,Code
78,14:16,18,,6120121637,Code
78,14:16,18,,6120121637,Code
78,14:18,18,,6120121637,Code
78,14:18,18,,6120121637,Code
78,14:25,18,,6120121637,Code
79,14:25,19,,6120121637,Code
79,14:26,19,,6120121637,Code
80,14:26,20,,6120121637,Code
80,14:27,20,,6120121637,Code
81,14:27,21,,6120121637,Code
81,14:27,21,,6120121637,Code
81,14:43,21,,6120121637,Code
81,14:43,21,,6120121630,Code
82,14:44,22,,6120121631,Code
83,14:44,23,,6120121633,Code
84,14:44,24,,6120121636,Code
